Player
Aaron Ramsdale
Aaron Wan-Bissaka
Abdoulaye Doucouré
Adam Armstrong
Adam Smith
Adam Wharton
Adama Traoré
Alejandro Garnacho
Alex Iwobi
Alexander Isak
Alexis Mac Allister
Alisson
Alphonse Areola
Amad Diallo
Amadou Onana
Andreas Pereira
Andrew Robertson
André
André Onana
Anthony Gordon
Anthony Elanga
Antoine Semenyo
Antonee Robinson
Archie Gray
Arijanet Muric
Ashley Young
Axel Tuanzebe
Bart Verbruggen
Ben Johnson
Ben Davies
Bernardo Silva
Bernd Leno
Beto
Bilal El Khannouss
Boubacar Kamara
Boubakary Soumaré
Brennan Johnson
Bruno Guimarães
Bruno Fernandes
Bryan Mbeumo
Bukayo Saka
Caleb Okoli
Callum Hudson-Odoi
Calvin Bassey
Cameron Archer
Cameron Burgess
Carlos Baleba
Carlos Soler
Casemiro
Chris Richards
Chris Wood
Christian Nørgaard
Christian Eriksen
Christopher Nkunku
Cody Gakpo
Cole Palmer
Conor Coady
Craig Dawson
Cristian Romero
Curtis Jones
Daichi Kamada
Dan Burn
Dango Ouattara
Daniel Muñoz
Danny Welbeck
Dara O'Shea
Darwin Núñez
David Raya
Dean Huijsen
Dean Henderson
Declan Rice
Dejan Kulusevski
Destiny Udogie
Diogo Jota
Diogo Dalot
Djed Spence
Dominic Solanke
Dominic Calvert-Lewin
Dominik Szoboszlai
Dwight McNeil
Eberechi Eze
Ederson
Edson Álvarez
Elliot Anderson
Emerson Palmieri
Emile Smith Rowe
Emiliano Martínez
Emmanuel Agbadou
Enzo Fernández
Erling Haaland
Ethan Pinnock
Evanilson
Ezri Konsa
Fabian Schär
Facundo Buonanotte
Flynn Downes
Gabriel Magalhães
Gabriel Martinelli
Georginio Rutter
Guglielmo Vicario
Guido Rodríguez
Harry Maguire
Harry Wilson
Harry Winks
Harvey Barnes
Ibrahima Konaté
Idrissa Gana Gueye
Igor
Iliman Ndiaye
Illia Zabarnyi
Ismaila Sarr
Issa Diop
Jack Clarke
Jack Stephens
Jack Harrison
Jack Hinshelwood
Jacob Ramsey
Jacob Murphy
Jacob Greaves
Jadon Sancho
Jake O'Brien
James Garner
James Tarkowski
James Justin
James Maddison
Jamie Vardy
Jan Paul van Hecke
Jan Bednarek
Jannik Vestergaard
Jarrad Branthwaite
Jarrod Bowen
Jean-Clair Todibo
Jean-Philippe Mateta
Jean-Ricner Bellegarde
Jefferson Lerma
Jens Cajuste
Jeremy Doku
Jesper Lindstrøm
Joachim Andersen
Joe Aribo
Joe Willock
Joelinton
John McGinn
Jordan Ayew
Jordan Pickford
Joshua Zirkzee
José Sá
João Gomes
João Pedro
Joël Veltman
Joško Gvardiol
Jurriën Timber
Justin Kluivert
Jørgen Strand Larsen
Kai Havertz
Kalvin Phillips
Kamaldeen Sulemana
Kaoru Mitoma
Keane Lewis-Potter
Kenny Tete
Kepa Arrizabalaga
Kevin De Bruyne
Kevin Schade
Kieran Trippier
Kobbie Mainoo
Konstantinos Mavropanos
Kristoffer Ajer
Kyle Walker-Peters
Kyle Walker
Leandro Trossard
Leif Davis
Leny Yoro
Leon Bailey
Lesley Ugochukwu
Levi Colwill
Lewis Cook
Lewis Hall
Lewis Dunk
Liam Delap
Lisandro Martínez
Lucas Bergvall
Lucas Paquetá
Lucas Digne
Luis Díaz
Luke Woolfenden
Mads Hermansen
Mads Roerslev
Malo Gusto
Manuel Akanji
Manuel Ugarte Ribeiro
Marc Guéhi
Marc Cucurella
Marcos Senesi
Marcus Tavernier
Marcus Rashford
Mario Lemina
Mark Flekken
Martin Ødegaard
Mateo Kovačić
Mateus Fernandes
Matheus Cunha
Matheus Nunes
Matt Doherty
Matthijs de Ligt
Matty Cash
Matz Sels
Max Kilman
Maxence Lacroix
Micky van de Ven
Mikel Merino
Mikkel Damsgaard
Milos Kerkez
Mohamed Salah
Mohammed Kudus
Moisés Caicedo
Morgan Gibbs-White
Morgan Rogers
Murillo
Myles Lewis-Skelly
Nathan Collins
Neco Williams
Nick Pope
Nicolas Jackson
Nicolás Domínguez
Nikola Milenković
Noni Madueke
Noussair Mazraoui
Nélson Semedo
Ola Aina
Oliver Skipp
Ollie Watkins
Omar Marmoush
Omari Hutchinson
Orel Mangala
Pape Matar Sarr
Pau Torres
Paul Onuachu
Pedro Neto
Pedro Porro
Pervis Estupiñán
Phil Foden
Radu Drăgușin
Rasmus Højlund
Rayan Aït-Nouri
Raúl Jiménez
Riccardo Calafiori
Rico Lewis
Robert Sánchez
Rodrigo Bentancur
Rodrigo Muniz
Ryan Manning
Ryan Yates
Ryan Gravenberch
Ryan Christie
Rúben Dias
Sam Morsy
Sammie Szmodics
Sander Berge
Sandro Tonali
Santiago Bueno
Saša Lukić
Sepp van den Berg
Son Heung-min
Stefan Ortega
Stephy Mavididi
Sávio
Taylor Harwood-Bellis
Thomas Partey
Timothy Castagne
Tomáš Souček
Tosin Adarabioyo
Toti Gomes
Trent Alexander-Arnold
Trevoh Chalobah
Tyler Adams
Tyler Dibling
Tyrick Mitchell
Tyrone Mings
Valentino Livramento
Victor Bernth Kristiansen
Virgil van Dijk
Vitaliy Mykolenko
Vitaly Janelt
Wes Burns
Wesley Fofana
Wilfred Ndidi
Will Hughes
William Saliba
Wout Faes
Yankuba Minteh
Yasin Ayari
Yehor Yarmoliuk
Yoane Wissa
Youri Tielemans
Yukinari Sugawara
Yves Bissouma
Álex Moreno
İlkay Gündoğan
Łukasz Fabiański
